PlayerName,AI,Timestamp,Score
Player 1,false,2024-12-14 00:04:55,20
Player 2,false,2024-12-14 00:04:55,20
Player 3,false,2024-12-14 00:04:55,20
Player 4,false,2024-12-14 00:04:55,20
Player 5,false,2024-12-14 00:04:55,20
Player 6,false,2024-12-14 00:04:55,20
Player 1,false,2024-12-14 00:11:05,20
Player 2,false,2024-12-14 00:11:05,20
Player 3,false,2024-12-14 00:11:05,20
Player 4,false,2024-12-14 00:11:05,20
Player 1,false,2024-12-14 00:31:18,20
Player 2,false,2024-12-14 00:31:18,20
Player 1,false,2024-12-14 01:00:18,20
Player 2,false,2024-12-14 01:00:18,20
Player 1,false,2024-12-14 01:03:59,20
Player 2,false,2024-12-14 01:03:59,20
Player 1,false,2024-12-14 01:06:45,20
Player 2,false,2024-12-14 01:06:45,20
Player 1,false,2024-12-14 01:26:54,20
Player 2,false,2024-12-14 01:26:54,20
